entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,totalWeight,mllll
1340,4,[98812.01  52697.934 30974.21   9431.966],[ 0.5477871   0.8554513  -0.29064897  0.9928205 ],[-1.4225552  -1.316723    0.10597461 -1.8183196 ],[114011.75   73185.05   32291.748  14475.463],[ 1  1 -1 -1],[11 13 11 13],[0. 0. 0. 0.],[1176.0408  -431.45795 -244.62677  -50.28827],1.6909028407058716e-07,125.18615984003307
1341,4,[118459.76   36571.58   26310.78   19246.625],[-0.97940934 -1.3092612  -2.3697495  -1.1676029 ],[-2.2376926 -1.2384001 -1.598987  -1.9406842],[179965.     72657.78  141923.2    33925.934],[ 1 -1 -1  1],[11 11 11 11],[0. 0. 0. 0.],[ 972.4267   899.2838  -356.71735 -403.3924 ],1.287176669229444e-07,124.7577053780338
1344,4,[105461.14   51110.914  43447.473  13040.878],[ 0.03393844  0.2393895  -0.17372717  0.8181166 ],[ 2.1932144  2.791085  -2.7161567  3.1224835],[105521.88   52582.543  44104.77   17654.336],[ 1 -1 -1  1],[11 13 11 13],[0. 0. 0. 0.],[ 595.3844 -993.1537  787.3364  352.0846],9.357642506086985e-08,119.72567486954809
1345,4,[49993.855 38355.598 21662.941 12334.581],[0.8926996 1.8487929 1.8717512 0.6311909],[-0.03561407  0.9009667  -1.7438805   2.7461748 ],[ 71272.766 124839.305  72067.516  14874.683],[-1  1 -1  1],[11 11 13 13],[   0.     1408.8043    0.     1383.06  ],[-502.89417  157.36545  588.18506 -881.1223 ],8.568888070503871e-08,125.32753783405599
1346,4,[52325.    49611.004 48871.355 13603.155],[-0.33791772  0.69301957  1.1093016   1.2001559 ],[1.7731751 2.0561876 2.7318988 2.2090213],[55340.99  62009.098 82153.46  24634.057],[ 1 -1 -1  1],[11 13 11 13],[0. 0. 0. 0.],[ 1800.6816  -1198.489    -142.06631 -1070.8215 ],1.589335237132136e-07,125.68694937190543
1347,4,[53348.676 25956.994 21208.37  20286.477],[-1.6521635  -0.22204754 -0.8642723  -1.7776825 ],[-0.50861806  3.028991   -0.547515   -0.24626446],[144305.33   26599.744  29634.842  61723.223],[-1  1  1 -1],[13 13 11 11],[10687.092     0.        0.    51355.344],[ 520.3551  -467.78705  365.6938  -301.6452 ],1.1325900590771357e-07,126.14989425358985
1349,4,[43588.246 35917.316 11358.654 10182.115],[ 0.96458185  0.5797346   2.0299954  -0.50491565],[-0.5311494 -2.7153826  1.0054299  1.9663405],[65487.695 42124.035 43988.59  11507.838],[ 1 -1  1 -1],[11 11 11 11],[   0.     2850.6448    0.        0.    ],[ 148.24841  -153.64343   -91.270355 1008.09515 ],1.1534112194465e-07,120.68584225979498
1350,4,[65002.688 22174.312 13574.699 11242.314],[ 0.22854166 -0.77990353 -0.9410538  -2.6467419 ],[-2.7072103   0.20529237 -0.7169212   0.7017494 ],[66707.76  29267.092 20042.623 79701.78 ],[-1  1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[1648.2086  -383.64493 -162.66885 -182.43472],9.025575612541199e-08,166.75588796115485
1352,4,[100457.984  41641.95   21463.705  19519.275],[-2.0776258 -2.3750825 -2.0587082 -1.2691677],[ 0.45129317  1.2272522  -1.0910189   0.10908892],[407393.    225801.53   85462.67   37466.812],[-1  1  1 -1],[11 11 11 11],[1170.2867    0.     1297.1127    0.    ],[-730.8447  -429.43002  250.93915 4414.645  ],1.2803104912954965e-07,120.22992568240163
1353,4,[37780.047 25263.566 22671.457 15593.313],[ 1.9361475  -0.14428751  1.6409417   0.8352915 ],[1.9432331 3.0955977 1.6556227 1.040542 ],[133670.61   25527.22   60689.59   21357.129],[ 1 -1  1 -1],[13 13 13 13],[0. 0. 0. 0.],[ 152.34906 1575.3936   185.91794 -832.3715 ],1.6041246222399392e-07,116.90248172133923
1354,4,[95047.5   15843.543 15437.678  9859.015],[0.9756676  1.6572313  0.24639322 1.7411109 ],[ 1.5933064 -2.4080598 -1.8268555  2.0498571],[143991.19   43058.28   15908.661  28980.582],[-1 -1  1  1],[11 11 11 11],[1466.8093    0.        0.        0.    ],[-715.1437     75.159485 -739.1122      7.026062],1.3314353416596093e-07,122.59044597709772
1355,4,[37146.13  35921.137 34555.45  16803.818],[-0.09378924 -1.1480412  -1.7842059  -0.6333058 ],[3.0236216 1.6858889 1.2274843 0.930654 ],[ 37309.773  62310.16  105787.76   20288.045],[-1 -1  1  1],[13 13 13 13],[0. 0. 0. 0.],[-640.0134  -436.8933  -179.95433 -181.47241],1.0986913969727198e-07,125.22378009996568
1356,4,[106235.47    27515.385   12807.7295  10079.13  ],[-1.2222561  -1.5355237  -0.13312307  0.05888006],[ 0.37624738  1.084133   -1.3803502  -1.7835304 ],[195972.72   66850.08   12921.816  10096.606],[ 1 -1  1 -1],[11 13 13 11],[0. 0. 0. 0.],[-572.6599  -162.56226 -899.653   1014.5009 ],1.230347811207962e-07,126.84883093276612
1360,4,[56696.14  24325.877 23511.434 15055.955],[ 0.13015103  0.5385544  -0.02874858 -1.3054643 ],[ 1.076493   -2.6165316   3.1073942  -0.84384215],[57177.113 27939.72  23521.387 29814.166],[ 1 -1 -1  1],[13 11 13 11],[   0.        0.        0.     1419.5707],[-806.40686  237.1773   739.5897  4915.9844 ],8.358554916499455e-08,135.42222035380573
1361,4,[47545.32  39189.28  23461.855 18696.365],[0.93344545 1.7116047  1.3243605  1.4748429 ],[-1.6742392   0.89612985  0.4225507  -1.1720158 ],[ 69807.39  112050.375  47225.938  42993.953],[ 1 -1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[ 2020.3246  -699.9431 -1066.0834   292.3468],7.878795089160284e-08,124.5552061474032
1363,4,[48109.395 29001.328 15709.186 11218.043],[2.3629923  1.8592538  0.13893464 1.0452509 ],[ 1.9031258   0.66849524 -2.7828796   0.63965404],[257790.08   95338.01   15861.046  17925.148],[ 1  1 -1 -1],[13 11 11 13],[0. 0. 0. 0.],[-191.23343  -99.16565 1354.1813  -344.63293],1.9729498438186645e-08,125.46782532858812
1364,4,[34381.387 30133.984 21422.861  9719.688],[ 0.91488826 -0.9144028  -0.35651726 -0.6001276 ],[ 2.1783097 -1.1478025 -1.6179626  1.3204145],[49802.543 43634.746 22798.814 11523.143],[-1  1  1 -1],[13 13 11 11],[   0.       0.       0.    8373.443],[-404.06766  -404.06766   -24.459045 2211.3083  ],2.6049826251295408e-08,126.77274133641238
1365,4,[62488.46  58492.35  28475.762 16243.351],[-1.6793165 -2.1438346 -1.1570994 -1.2134879],[ 0.9223262   0.19985144 -1.0428486   0.30497804],[173355.25  252958.88   49762.797  29744.691],[ 1  1 -1 -1],[13 13 13 13],[0. 0. 0. 0.],[ 192.23483  -208.64804  -100.305115 -558.3194  ],2.1360172066097258e-07,119.50810419524313
1368,4,[46030.523 43737.074 35025.02  33579.145],[1.9506063  0.11363262 1.1676435  0.7390004 ],[ 2.0681145   1.4977795  -1.9490025  -0.97223127],[165137.69   44019.754  61740.496  43173.25 ],[ 1 -1  1 -1],[11 11 11 11],[   0.      0.      0.   1189.59],[ 1573.772     349.99805  1529.6301  -1127.4504 ],8.243089625970205e-08,198.90558467841925
1369,4,[47489.285 45591.484 41978.34  10512.444],[-1.3573205 -1.1506069 -0.7132097 -2.1750467],[-0.3002167  -2.2118292  -0.45093653 -1.9184746 ],[98376.89  79250.72  53115.17  46865.523],[ 1 -1  1 -1],[13 13 11 11],[0. 0. 0. 0.],[-278.35098 -278.35098  269.83127  413.67468],5.294700838042577e-08,124.89157581954595
1370,4,[76310.86  30602.623 23737.057 11380.981],[0.27546194 0.5927967  1.3317921  0.02212784],[-0.88922936  1.1406085  -0.806561   -1.9254221 ],[79224.42  36138.94  48089.367 11384.258],[-1  1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[3049.4058   252.95105   67.55527 -119.82266],7.761292531418482e-08,121.90748773418045
1371,4,[89242.29  44215.656 17940.27   7511.518],[-0.0831439  -1.1086949  -0.72225547 -0.81105137],[-1.2243738 -2.2934723  3.1158369 -1.0352546],[89550.93  74290.93  22826.795 10121.058],[ 1 -1 -1  1],[11 11 13 13],[   0.        0.     1052.4724 3178.7678],[-233.68607  472.1918  -260.6359   309.82846],8.13780641478157e-08,125.11288098646668
1372,4,[82247.695 62118.598 38058.027 36424.918],[2.0305045  0.11742312 1.3540434  1.1574377 ],[-0.8848368  2.9127157 -2.6267724  1.2276663],[318676.84  62547.43  78613.65  63671.95],[-1  1  1 -1],[13 13 13 13],[   0.        0.     3561.3032    0.    ],[ -255.58032 -1191.3258    351.57507  1168.3888 ],0.0,285.96833735327505
