entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,totalWeight,mllll
0,4,[63923.805 42847.305 15393.414 13567.796],[-0.2956075 -1.4793512 -1.1165816 -1.1453453],[-0.26682487  1.0593069   0.2844749   1.0686532 ],[66737.24  98931.95  26028.664 23483.418],[-1  1  1 -1],[13 13 11 11],[0. 0. 0. 0.],[-1004.72156   149.34106  1458.2501  -1218.2954 ],4.376962188110034e-08,109.99316045228
2,4,[76425.484 36745.63  33675.18  17161.502],[-1.1126827 -0.9973626 -0.8005571 -0.6236606],[ 1.2405757  -0.74699354  0.49992895  1.8630786 ],[128822.29   56587.87   45055.152  20608.867],[ 1 -1  1 -1],[13 13 13 13],[1332.6113    0.        0.        0.    ],[ -561.82263 -1208.8523   2317.7852   -600.80615],1.065438139078013e-07,124.29558963456478
3,4,[43783.777 30890.744 17438.334 11422.894],[ 1.5238160e+00  9.5277143e-01 -8.8350399e-04  1.8990133e+00],[ 0.02718011 -2.7079866   0.07519604  2.346065  ],[105247.12   46004.91   17438.34   39003.566],[-1  1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[  21.563538 -485.2848   -225.07233    49.36438 ],7.333482592327118e-08,120.7693541566173
4,4,[179903.77   88327.336  30731.39    8973.982],[-0.9758958  -0.33298433 -0.9337518  -2.2786183 ],[ 3.0331767  -0.46021703  1.4588885   0.5601624 ],[272590.     93269.61   45130.895  44266.895],[-1  1 -1  1],[11 13 13 11],[0. 0. 0. 0.],[  28.160492 -301.32104   180.60779   237.73567 ],1.238401870020167e-07,319.9066306666
5,4,[72132.93  32123.24  15567.47   7412.739],[2.4290044  2.3821871  0.79777384 0.7370081 ],[-0.22853146  0.28757897  2.483475    0.41276163],[412445.4  175407.52  20790.02   9519.35],[-1  1  1 -1],[13 13 13 13],[   0.        0.     1046.7429    0.    ],[-239.34064   -51.459473 -120.033264  268.69635 ],1.3101841672204335e-07,122.59425035237851
6,4,[86696.54   59511.637  40536.348   8154.8994],[-0.14869422 -0.74397224  0.3293434  -0.6686503 ],[-0.22645757  0.1675971   1.170972   -0.26057395],[87656.734 76755.21  42754.723 10047.396],[-1 -1  1  1],[11 13 11 13],[2000.1462 1058.9869    0.        0.    ],[ 771.02295  -138.17975   -27.59378   109.532715],1.4876928855177562e-07,125.73812766195314
7,4,[69766.95  19776.361 15040.733 14920.371],[2.104021   0.8242979  2.2999282  0.16769904],[-0.35648924  0.54983366 -0.10593975  1.703711  ],[290266.72   26884.41   75758.234  15130.666],[-1  1 -1  1],[11 13 13 11],[0. 0. 0. 0.],[-474.53607 -347.78564 -207.61235 2652.7603 ],2.0536120039248147e-07,124.50284187569235
8,4,[91193.04  24378.744 20482.557 10944.904],[0.05340891 1.650274   1.4540193  0.5695189 ],[-2.6285956   1.8896935   1.1276053   0.32065514],[91323.195 65827.625 46228.363 12768.84 ],[ 1 -1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[1983.9304  -563.09204 -884.98816 2113.3035 ],3.0330618418025473e-10,170.58918975922387
9,4,[74958.93  74318.27  53740.523 37666.15 ],[ 0.04676504  0.3426994   0.07322476 -0.24519733],[ 0.8798458 -1.1915942 -2.7106907  2.9606106],[75040.984 78725.3   53884.766 38804.254],[ 1  1 -1 -1],[13 13 13 13],[0. 0. 0. 0.],[-827.16846  785.7053  -486.73096 -266.49707],4.7545900556551616e-08,243.56058242112087
10,4,[38118.43  20434.809 16436.771 14075.675],[-0.94420576  1.2404413   0.27461514 -0.14524962],[-2.9762805   0.7583695  -0.29129687 -2.093066  ],[56410.688 38278.438 17060.781 14224.809],[ 1 -1  1 -1],[11 11 13 13],[   0.        0.        0.     1109.4529],[-207.91876 -756.64087 -645.03296 -645.03296],6.70642442933623e-08,124.67529953210982
11,4,[47274.723 37499.863 16478.518 13092.654],[1.1206198  0.3540452  0.5709975  0.72477007],[ 0.48019925 -2.2852051   0.47523248 -3.1105812 ],[80197.59  39874.78  19238.615 16684.574],[-1  1 -1  1],[11 11 11 11],[   0.        0.        0.     1406.6389],[-1626.5771  2463.615   2053.1675  1536.1399],8.02856360066541e-08,119.382970503795
12,4,[70318.34  37308.113 17812.15   9872.518],[-0.9640952 -0.596136  -1.195424  -0.5688794],[-1.9607282   0.16325288 -2.5850663   1.5539055 ],[105609.08   44136.02   32129.145  11514.043],[ 1 -1 -1  1],[11 11 13 13],[1859.0953    0.        0.        0.    ],[1986.0471   593.0786  -463.2234   381.14282],9.796157249996821e-08,125.36071287186081
13,4,[31324.96  29822.27  27950.152 18620.604],[ 0.08751104 -0.7107933   0.9094991  -0.08917294],[-2.8252523  -0.64931935  0.54419    -1.7328936 ],[31444.984 37678.348 40329.336 18694.686],[-1  1  1 -1],[11 11 11 11],[   0.        0.     1348.2211    0.    ],[ 1364.1292    -79.82132  -489.51263 -1151.8954 ],8.474737039035797e-08,123.06677499264843
15,4,[35479.684 29156.78  23097.848 13506.05 ],[0.47643146 0.36756745 0.6913898  2.2409039 ],[ 0.65650564 -2.4055398   0.05421361  2.7668371 ],[39583.14  31148.68  28842.104 64209.113],[ 1 -1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[-638.79474  786.3733   765.9381   222.78867],1.437704494828542e-07,121.17462944111074
16,4,[58290.742 57417.062 17658.55   9241.508],[1.3031265 1.1398664 1.609615  1.0772165],[ 0.15818633  2.0337508  -0.6511917   2.4219935 ],[115196.13   98935.695  45919.86   15142.748],[-1  1 -1  1],[11 11 13 13],[3318.4846    0.        0.     3427.843 ],[-206.96625  -84.23016 -223.57768 -560.7601 ],1.319717522108078e-07,127.18864329638691
22,4,[53853.613 39435.227 16942.857 14757.01 ],[0.5914367  0.56491405 0.80761033 0.99792486],[ 2.0794036 -1.1901593  1.205046  -0.6962488],[63550.32  45896.797 22775.385 22735.562],[ 1 -1  1 -1],[11 11 13 13],[   0.       0.    2751.335    0.   ],[-756.8027  -133.34348 1132.4543  -499.1928 ],4.6419852823988596e-08,125.07476499647528
23,4,[78556.1   60482.785 30234.57  10853.087],[-0.8566472  -0.18641938 -0.630909   -0.36127213],[ 0.16613422 -1.0085093  -1.5416913  -0.4035619 ],[109186.51   61536.88   36454.215  11569.083],[-1  1  1 -1],[13 13 11 11],[1877.3866    0.        0.        0.    ],[  7.7573853 -16.894714  623.7218    272.35632  ],6.843483645570754e-08,124.85131348010475
24,4,[88910.16  36634.086 36506.617 16686.023],[-2.3857458 -1.7789346 -2.261359  -2.4311316],[-1.1289793  -1.0796397   0.7041462  -0.18335828],[487191.4   111594.07  177063.14   95608.305],[ 1 -1 -1  1],[13 13 13 13],[1173.1924 1294.7       0.        0.    ],[ 656.7926  -339.43542 -339.43542 -339.43542],8.402285925654092e-08,124.32317896350779
25,4,[52061.51  36116.594 15187.388 10596.962],[ 0.00286814  0.5268814  -0.76160187  0.37150386],[-2.542712   0.7045985  0.2358384  2.5162008],[52061.832 41246.832 19809.078 11336.682],[-1  1  1 -1],[13 13 11 11],[   0.        0.        0.     1922.1271],[-1116.6708   1739.3207    271.15277  2214.825  ],6.877389714371681e-08,123.52417332805408
26,4,[89095.52  61296.24  36093.395 12098.984],[-1.0920302   1.2568026  -1.7753862  -0.19219741],[ 0.7265441 -1.9189467  2.289702   0.84284  ],[147713.88  116423.914 109579.2    12323.141],[ 1  1 -1 -1],[13 11 13 11],[0. 0. 0. 0.],[-298.25433 1273.2043  -218.4009  2186.1301 ],9.596396942424773e-08,362.1706494451368
29,4,[78952.76  37795.703 25434.758 16478.518],[-2.0184636  -0.95711017 -2.3299744  -1.654425  ],[-1.8063953 -1.5523398 -1.3841577  2.1071272],[302373.75   56469.92  131942.55   44667.402],[ 1 -1 -1  1],[13 13 13 13],[   0.        0.        0.     3210.2488],[1296.8573  -150.0245  -187.11047  148.86508],9.988704116243362e-08,125.2219298217688
32,4,[50369.52  38849.797 12200.908  9196.985],[ 0.5922841  -0.12644885  1.3416541   0.38630483],[-2.556983    0.76771957  2.1726885   0.24988613],[59465.75  39160.945 24931.205  9891.802],[ 1 -1 -1  1],[13 13 11 11],[0. 0. 0. 0.],[ 814.21533 1013.7312  1071.0876  2202.3367 ],6.430744205516815e-08,121.73787470179927
33,4,[148582.25   59495.11   52685.836  31111.29 ],[-0.4928686  -0.78579396 -0.9982835  -0.77059096],[ 2.895534   2.7732737  1.9375926 -2.9585748],[166997.34  78828.23  81192.41  40814.63],[-1 -1  1  1],[13 11 13 11],[1115.0254    0.        0.     2328.9194],[-315.40112 5167.5176   186.9773  -304.19244],9.318656890765508e-08,127.69607060301544
34,4,[38248.137 32083.6   26864.295 17680.393],[2.2926738 1.4771516 1.6520163 1.0348773],[-3.1342008  -0.55793846  3.1067026  -0.4111858 ],[191286.1    73932.52   72656.61   28023.895],[ 1 -1 -1  1],[13 13 13 13],[   0.     1056.7584    0.     1165.9545],[154.4805   92.09253 380.32047 327.16272],1.0332628534961064e-07,122.56712275147241
35,4,[84500.53  28594.867 20314.36   9585.562],[1.2025127 0.8441828 1.0972494 1.7949166],[-3.1087687 -0.8711293  1.9388732 -1.826406 ],[153322.38   39403.65   33820.383  29643.896],[-1  1 -1  1],[13 13 11 11],[   0.        0.        0.     2370.2493],[-567.1615  -906.30225  364.28198 2081.5352 ],1.3982545562568665e-07,124.53999174635682
38,4,[64260.746 23796.39  19273.361 11673.131],[0.7732422 1.0867002 2.426953  2.3247864],[-2.1206534 -2.6691864  1.727344  -2.933242 ],[ 84448.08   39285.504 109979.875  60246.78 ],[-1 -1  1  1],[11 11 11 11],[   0.        0.        0.     1329.3677],[1437.063     35.32898  378.14282 1829.5682 ],8.323835388099034e-08,122.45928786721363
39,4,[57164.457 38674.082 12404.012 10231.595],[-0.5119248  -0.82112324 -0.2528029   0.22552304],[ 2.8654225   0.5440527   0.44162855 -1.9882668 ],[64819.934 52461.176 12802.493 10492.893],[ 1 -1 -1  1],[11 11 11 11],[1088.7039 1470.5079    0.        0.    ],[3227.0393  1494.2317   140.36243  874.1133 ],9.505888813757577e-08,118.64704931402017
40,4,[99081.04  28961.693 27198.719 20557.33 ],[ 0.5061011  -0.01805825  0.50684035 -0.17676334],[ 1.3676234  1.4152708  2.0758557 -2.1195173],[112043.44   28966.607  30767.83   20879.326],[-1  1 -1  1],[11 13 13 11],[   0.     1206.8462    0.     6790.92  ],[-687.8592     93.885284 1910.426    1112.6963  ],1.257301971691195e-07,125.71758507844484
41,4,[91146.984 18506.367 12504.696 10001.599],[ 0.797516    1.7125338   1.5132769  -0.30037773],[ 0.43820572 -3.0382285   0.2102026  -1.8807274 ],[121702.51   52959.746  29772.47   10456.741],[ 1 -1 -1  1],[13 13 13 13],[2178.273     0.     1131.9764    0.    ],[-321.8736  -301.39838  154.57458 -581.3863 ],1.297326823154068e-07,126.98207527948831
42,4,[48268.656 35757.71  13238.356  9145.357],[-1.1798588  -0.10092268 -1.6381167  -0.38888296],[-0.29345393 -2.6044235   0.23183401  2.123518  ],[85948.06  35939.97  35345.19   9845.643],[-1  1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[ 796.88354 -761.6894  2314.992    123.46747],1.554383972778829e-07,120.6094551011732
44,4,[53874.496 29834.664 26775.283  9232.476],[-0.74555117  0.32704455  0.89348143 -0.9899023 ],[-2.4850743 -1.3983403 -0.9646529  3.0657456],[69554.01  31444.467 38192.94  14137.619],[-1 -1  1  1],[11 11 11 11],[0. 0. 0. 0.],[-725.23584 1116.9347  2035.6836    91.50079],1.4743945450384776e-07,123.3855355688179
45,4,[64745.777 46901.754 15430.755  7148.686],[ 1.0766559   1.6801895   1.1256946  -0.14271905],[ 1.7751473 -0.0903133  0.8845036 -2.4627345],[106040.04  130220.64   26284.838   7222.387],[-1  1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[  82.09723   93.36267 -620.6631   444.61084],1.7745469198001862e-07,126.33849078210801
47,4,[189452.06   48580.53   25963.498  13595.363],[ 0.7448344  -0.13697548  1.116859    0.18086813],[ 2.4452069  2.3668041  2.1429417 -2.8363714],[244478.94   49036.984  43911.527  13818.749],[ 1 -1 -1  1],[11 11 13 13],[1327.2415    0.     1327.2415    0.    ],[  23.708252 1272.1245    702.54407   976.7726  ],1.0324893219502131e-07,126.402308417538
48,4,[77930.984 56085.457 35897.637 29960.43 ],[1.2297055  1.1537185  0.22468372 1.7992201 ],[-2.5015225 -3.039853   3.1079824  2.6779091],[144663.34   97740.74   36807.562  93032.51 ],[ 1 -1 -1  1],[13 13 11 11],[0. 0. 0. 0.],[ -755.6381   -408.94672 -1151.1829    -22.2818 ],1.6285418614667257e-07,124.5494914369818
50,4,[36862.54  21925.498 18551.787 13896.805],[ 1.0720536  1.060128  -0.9068528  0.3861681],[-2.3098657   0.08340594 -2.9396837   0.1393159 ],[60153.72  35444.39  26717.65  14945.932],[-1  1 -1  1],[11 13 13 11],[0. 0. 0. 0.],[1376.76    -535.2553  -496.34967  645.6704 ],1.5988292599072774e-07,119.34755770808678
51,4,[67935.09  26093.834 17686.371 16403.408],[0.9927303 1.868521  1.5270387 2.3474512],[ 0.5190704  -0.8504015   2.443555    0.08573642],[104251.7    86541.03   42639.18   86564.875],[ 1 -1 -1  1],[11 13 11 13],[0. 0. 0. 0.],[-1066.8076  -194.8782  -227.8844  -194.8782],1.5841462928527832e-07,118.28562521949817
52,4,[260701.31  168533.55   15406.984  15201.799],[0.8523203  0.74082005 1.1538199  0.42719847],[0.51730245 0.92353755 0.04598881 1.3207774 ],[361267.66  216934.53   26852.344  16610.514],[ 1 -1 -1  1],[13 13 13 13],[   0.     2720.9907    0.        0.    ],[ 747.2169  -438.4525    67.29578 -332.59778],1.2408603824549357e-07,124.62279515892908
53,4,[61720.41  55249.695 16145.969 12828.064],[-0.2767778   0.01579191 -0.84452194 -1.8900989 ],[-2.952924  -2.8994808 -1.2657152  2.4589484],[64099.617 55256.688 22254.465 43429.93 ],[ 1 -1  1 -1],[11 13 13 11],[54090.81 59573.11     0.       0.  ],[-3011.2788  -820.4109  -574.1421   901.6333],1.2793011373434701e-07,116.59970599131995
54,4,[37937.8   28036.88  16099.289 10298.45 ],[-0.26087376  0.65824765  2.0382512   0.18449979],[ 2.3844342   2.251752   -0.30699128 -0.67389125],[39236.07  34333.605 62847.016 10474.762],[-1  1  1 -1],[11 13 11 13],[0. 0. 0. 0.],[1030.478   -970.379    219.97932 -172.51086],1.136531698637263e-07,120.46909307711435
55,4,[47168.457 42185.04  13859.997  9108.545],[-0.4463046   0.69722563  0.8024203   0.88325894],[ 0.3654544  2.3183293 -0.3618322 -2.1358202],[51944.645 52860.773 18566.992 12899.057],[-1  1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[-1067.6616  -1220.7446   -701.09143   952.9971 ],1.6577165836175283e-07,125.63091169983717
56,4,[56148.99  30100.715 28165.035 25033.156],[-1.2462131 -1.5106622 -2.3829942 -1.7227801],[ 1.0073026  1.3837366 -2.297073   1.1042176],[105693.28   71496.695 153916.     72328.94 ],[ 1  1 -1 -1],[13 13 13 13],[0. 0. 0. 0.],[ -79.72955 -198.36462 -456.3164  -456.3164 ],1.7353815005358377e-07,127.56659389534002
57,4,[59709.23  52233.25  11626.057  9659.139],[1.3919029  0.91405517 2.3239512  0.8759221 ],[-3.0613403  -1.6272669  -1.2324966  -0.10217664],[127512.06   75615.79   59954.773  13607.631],[-1 -1  1  1],[13 11 13 11],[0. 0. 0. 0.],[ -58.802612  -13.489075  214.36342  1626.5455  ],1.7886763427085875e-07,117.62249560710636
59,4,[86165.34  18648.559 15491.635 11261.979],[0.5966765 1.6330762 0.8908831 1.1110783],[ 0.25875542  2.8026245   0.14617106 -2.854004  ],[101964.266  49557.867  22056.791  18958.615],[-1  1  1 -1],[11 11 11 11],[   0.        0.        0.     1040.7998],[-544.0537   772.9753  1458.3514   411.87268],1.4007954788321175e-07,118.86781915643482
61,4,[84948.625 47625.49  32708.908 26774.701],[0.5405982  0.05451727 1.138466   0.00167783],[ 0.9606192 -1.8210311  1.2060024 -3.017732 ],[97666.85  47696.28  56296.703 26774.738],[-1  1 -1  1],[11 11 11 11],[3516.725  2434.3684    0.     4139.6   ],[ 368.25522 2185.6145   407.8981  -148.71014],1.5333559357138314e-07,199.45873975353678
62,4,[92844.19  19232.777 17806.086 11770.259],[1.107828   0.80281085 0.59193605 1.7985052 ],[-1.7281517 -1.9165926  2.3904197  1.8567983],[155887.77   25770.701  21018.031  36524.04 ],[-1 -1  1  1],[13 11 13 11],[   0.         0.      2835.678   1014.00336],[-743.8188 -605.09   3885.6953 1454.3695],1.500819254422887e-07,113.90076824655178
63,4,[53541.75  36809.6   21705.346 19339.525],[-1.076918   -0.53032386  0.20185845 -2.4869492 ],[-2.7311506   0.37678117  1.0414718  -0.83691126],[ 87708.4    42108.29   22149.312 117078.625],[-1  1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[-593.9636   223.04678  176.1029  -110.35599],1.5298867071759542e-07,178.60316786269135
65,4,[102970.05   30896.467  18054.41   16725.504],[-0.91335744 -0.44368383 -1.0845011  -1.0844833 ],[ 0.4126529  2.1179929 -0.5412259  1.5460596],[148990.06   33987.75   29754.164  27563.729],[-1  1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[-1031.0111  5931.335   -888.9201  -537.0463],1.604778795297241e-07,123.3532296275133
67,4,[73364.89  70020.36  41406.246 33095.637],[-0.4672532 -1.1808118 -0.6035799 -0.9797712],[-2.5854106   0.42346886 -1.4193866   1.6310153 ],[ 81520.38 124777.91  49180.35  50292.85],[-1  1 -1  1],[11 11 11 11],[0. 0. 0. 0.],[ 154.76678  132.86163 -666.5174  -501.58115],1.5299056070222217e-07,227.6900992559813
68,4,[32493.717 29323.426 26427.832 10839.338],[-0.18448628  0.7068608  -1.6967142  -1.3249687 ],[-1.8309247 -2.7411644 -1.6897484 -1.854055 ],[33048.25  36959.49  74516.984 21829.77 ],[-1 -1  1  1],[11 13 13 11],[   0.        0.     2184.0542 1550.5835],[  94.43948 2220.1611   775.2053   275.15463],1.5473872837443032e-07,120.10902340715406
70,4,[50173.05  43360.87  22087.516 17764.95 ],[-0.6044919  -1.0617173  -0.86362684 -0.1407471 ],[-2.1227808   1.8187258   0.95516443 -0.25198498],[59622.586 70183.76  30849.38  17941.51 ],[-1  1 -1  1],[13 11 11 13],[0. 0. 0. 0.],[-111.17865  630.60114 1447.7313  -130.2685 ],1.494529181262334e-07,138.78645492137264
71,4,[305402.12   48872.508  42971.875  34268.66 ],[-0.00642988  0.4709449   0.4050637   0.04030205],[2.598789  2.6710196 2.41578   2.182038 ],[305408.47   54393.22   46545.68   34296.496],[-1  1  1 -1],[13 13 11 11],[    0.    41545.34  51903.207     0.   ],[ 174.09747 1091.5876   153.45819 1035.4722 ],1.588400120414098e-07,95.82335652806162
72,4,[67763.36  34262.17  10186.723  9879.677],[ 0.04001977  0.12855719 -1.3860072  -0.16397095],[ 0.39404193 -2.4431398  -0.75982773  2.2233703 ],[67817.63  34545.688 21641.559 10013.347],[ 1 -1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[-1547.8438   -510.07617  -291.39282  4619.7705 ],1.7417911024538676e-07,127.78957933401554
73,4,[49111.016 40784.777 29487.596 27966.21 ],[-0.266736  -0.0246493 -1.535473  -1.5474201],[ 2.6515613  0.5208473 -2.782246  -1.1534407],[50868.586 40797.168 71638.27  68686.875],[-1  1 -1  1],[13 11 11 13],[0. 0. 0. 0.],[-325.29822    68.605255 -115.91394    58.947845],1.532854493846639e-07,181.472148972663
74,4,[139895.94   69621.83   29027.748  16615.129],[-0.55739033 -0.08152445 -0.9141236  -1.733533  ],[-1.1106669 -1.3333286 -0.7496149 -1.0390204],[162196.16   69853.32   42024.28   48493.555],[ 1  1 -1 -1],[11 11 11 11],[0. 0. 0. 0.],[-1190.392     241.37897  -106.9379    358.80167],1.4528373122779844e-07,118.18781087127964
77,4,[96336.7   23375.264 19005.504 13493.917],[2.1197243 1.7980466 2.2194192 1.172382 ],[-0.76343584  2.764222   -1.7213066  -0.10962539],[406969.84   72503.8    88476.93   23879.777],[-1  1 -1  1],[11 11 13 13],[    0.    10997.728     0.        0.   ],[-780.4845   920.13336 -343.31    -519.26825],1.5321485590482075e-07,125.11704130708776
79,4,[76196.63  35650.64  23378.084 16000.807],[1.6552088 1.5674454 2.0877056 0.6559872],[ 2.8941178 -1.2577227  2.997561   3.0775332],[206691.97   89179.47   95737.44   19568.773],[ 1 -1 -1  1],[13 13 11 11],[0. 0. 0. 0.],[ 771.34863  204.34274 1478.4036   507.67386],1.4757035722286225e-07,125.19597205651048
80,4,[49896.766 26616.14  21075.19  11179.489],[-0.03285419  0.9509246   1.4207939   1.1025409 ],[ 2.4506085 -2.3368237 -1.621048   0.6117641],[49923.81  39584.656 46175.105 18691.186],[ 1  1 -1 -1],[13 11 13 11],[0. 0. 0. 0.],[249.54803  -27.371704 537.60394  851.57355 ],0.0,120.1461073113016
81,4,[91779.94  36149.676 15462.668 15039.675],[2.1356206 1.4986135 1.1241645 1.951598 ],[-0.66615367 -0.8236728   2.8323324   0.44151637],[393757.4    84932.266  26306.39   54007.39 ],[-1  1  1 -1],[11 13 11 13],[0. 0. 0. 0.],[-833.4216   -576.2916   1863.582     -16.039703],1.5015410242276508e-07,118.93034568489496
82,4,[44524.895 27006.762 18541.63   9046.311],[ 1.1285312  -0.90260804  0.21290681  0.30867988],[2.1524146  2.7188263  0.7633619  0.12354248],[76017.9   38775.6   18963.754  9481.313],[ 1 -1 -1  1],[13 13 13 13],[   0.     2753.4133    0.        0.    ],[-509.6186    94.44281 1221.3481  -667.26373],1.688324799513626e-07,119.51339374292971
84,4,[44147.25  27682.076 19547.291  9838.526],[-1.1812176   0.4072596  -0.07025105 -1.8209798 ],[-0.6592618   1.7322925   0.97500867 -0.70262796],[78697.85  30009.662 19595.545 31187.025],[ 1 -1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[1207.5951   924.35645 -584.6691  1270.5062 ],9.384818271524429e-08,125.68371651953267
85,4,[48326.355 36866.51  15365.662 10249.218],[-1.3373275   0.00738444 -1.0958393   0.6931575 ],[ 2.580257  -2.3031378 -2.7269244  0.5987613],[98377.945 36867.668 25552.941 12812.037],[ 1 -1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[-179.97168 -623.4988  -143.24292 -623.4988 ],1.0766763111796696e-07,124.256566771378
86,4,[77516.39  29360.822 14363.541 10449.454],[2.3789663 2.096875  1.6565404 2.1121573],[-1.8279245  2.1016822 -2.1875026  0.8382605],[421936.7   121312.06   39010.984  43819.95 ],[-1  1 -1  1],[13 13 11 11],[   0.        0.        0.     2087.3228],[-277.68152   -19.588257  509.39166   261.68643 ],9.797742453318913e-08,118.92460094870809
87,4,[99911.13  32887.1   13011.32  12525.737],[-0.3575131   0.13765217  0.47653145 -0.9182898 ],[-1.5814162 -1.4151791  2.225796   1.9990208],[106364.586  33199.168  14517.193  18188.646],[-1  1  1 -1],[13 11 13 11],[   0.        0.     4396.8115    0.    ],[ -663.3883  -1559.3517   -421.8119   -148.14342],9.173588651838938e-08,125.88189567003549
88,4,[48384.957 41174.98  19467.646 13732.908],[-1.7970871 -1.908277  -1.9191834 -2.1437514],[ 3.0084085  -0.46013457  0.6442342  -2.699457  ],[149940.95  141843.72   67768.016  59385.19 ],[-1  1  1 -1],[13 13 11 11],[   0.     1066.6182    0.        0.    ],[310.81445 173.12007 127.30426 501.57336],1.6463862109144845e-07,123.02658352660518
89,4,[36406.594 26749.633 12212.624  9073.86 ],[ 1.6987935  -0.23997964  0.98309976  2.0148106 ],[-2.9158278 -1.1005119  0.8880712 -0.7348778],[102853.2    27523.596  18605.186  34628.81 ],[-1  1 -1  1],[11 11 11 11],[0. 0. 0. 0.],[1425.277    164.08905  604.45996 1552.0017 ],1.4569074197120664e-07,118.3219120136091
90,4,[255493.3   226146.5   101829.266  32992.156],[2.2533731 1.0651852 1.7404488 1.9770255],[ 0.29676285 -3.0614223   0.10916872 -2.5470495 ],[1229540.8   367040.3   299140.94  121406.38],[ 1 -1 -1  1],[13 11 13 11],[   0.    6755.969    0.       0.   ],[-206.3729  -943.27905 -206.3729  1097.0254 ],1.5983344585266114e-07,697.1416788402437
91,4,[63431.836 54944.54  26662.1    8721.483],[-1.5600924 -1.0197527 -1.0270746 -1.124596 ],[-1.5582014  -0.03378158 -0.7810287   2.2055633 ],[157608.38   86075.93   42005.42   14843.278],[-1  1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[-1148.7119    -62.08316  -417.40286  -417.40286],1.6420954350050607e-07,120.54174672621039
93,4,[72734.164 28939.781 17421.271 12829.103],[0.43670976 0.2306567  0.07625995 1.4064002 ],[ 2.3589416  -0.50600517  2.5237887   0.641404  ],[79780.86  29713.035 17472.273 27751.225],[-1  1 -1  1],[11 11 13 13],[   0.     1213.7062    0.     1138.4679],[ 565.5153  1207.9729   151.13202  242.78851],1.0495500939878463e-07,125.35486002635547
94,4,[59161.37  29038.22  18625.611  8289.696],[-0.39508367  0.4812379  -0.29120916 -0.8345149 ],[-1.2944934  2.0405133  2.0619378 -0.0685142],[63839.113 32466.268 19421.248 11348.18 ],[ 1 -1  1 -1],[13 13 13 13],[0. 0. 0. 0.],[ -699.8655   -603.5884  -1122.7356    820.68286],8.171741854965209e-08,124.07850748602277
95,4,[38701.098 28426.018 24444.04   8582.253],[ 0.03931434  0.9145534  -1.3417337  -0.5643874 ],[0.6209714  0.52064705 1.9911535  2.260082  ],[38731.152 41165.934 49952.156  9986.348],[ 1  1 -1 -1],[13 11 11 13],[   0.       0.    4127.568    0.   ],[-731.0582   267.15787 1488.741    276.7008 ],1.5154882594287873e-07,115.29315016266871
96,4,[89266.734 31478.604 13630.016 13170.312],[ 1.2088854   2.2739675   0.95463943 -0.25150207],[-0.08244357 -1.6266559   0.8590882  -2.9452658 ],[162835.    154572.31   20327.02   13589.045],[ 1 -1 -1  1],[13 13 11 11],[   0.        0.        0.     1431.9854],[-255.43329  946.5827   -83.36447 2728.723  ],1.6496322169437408e-07,161.2229523050507
98,4,[91053.18  23136.477 17856.412 13981.23 ],[ 0.31115523 -0.5344792  -0.3284312   0.49490318],[-0.31868523 -2.176732   -0.8070776  -2.8065584 ],[95496.63  26520.576 18828.455 15729.024],[ 1 -1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[3006.998   4538.835   -630.5721  -496.82745],1.24162301679217e-07,121.43674924357636
100,4,[53039.402 18490.467 11597.762 11137.421],[-0.51772004 -0.15674587  1.838898    0.60631305],[-0.17410162  0.9249036  -2.9515405   3.0012105 ],[60307.78  18718.08  37394.637 13248.053],[ 1 -1 -1  1],[11 11 11 11],[0. 0. 0. 0.],[1107.6432  513.7258 2256.481  -734.6134],9.199322239817937e-08,122.42983342370317
101,4,[109992.71   59718.984  21725.648  12527.01 ],[-0.83176523 -0.2386305  -0.04707135  1.2007487 ],[ 0.29330236  0.37116337 -0.04662652 -0.28748277],[150285.88   61427.402  21749.723  22696.51 ],[-1  1 -1  1],[13 11 11 13],[0. 0. 0. 0.],[ -599.98615 -1364.0305    711.6887   2292.6902 ],0.0,124.71389083995129
102,4,[62538.062 36515.176 30947.377 16973.225],[ 1.3265901  -0.21626775  1.1019176   0.60345703],[ 3.0602605 -2.826919   2.39006    1.6386545],[126125.336  37372.45   51715.74   20158.645],[-1 -1  1  1],[13 11 13 11],[0. 0. 0. 0.],[ 812.75775 -270.89575 -130.10431 -107.25314],7.87395604744021e-08,126.927425875454
