entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,totalWeight,mllll
30,4,[99653.49  48025.32  29772.025 15642.641],[ 0.5702502   0.15011725  0.7670919  -0.38409492],[0.43212554 1.6780559  0.9808907  0.06826183],[116300.336  48567.582  38969.582  16811.1  ],[-1  1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[-647.9411  -647.9411   555.00385 -647.9411 ],2.5575754255495238e-05,118.97554708735777
33,4,[75308.61  30595.914 25743.104  8201.229],[-1.765545  -1.6815152 -2.182255  -2.0219264],[-1.1513015  -3.1345809   3.0257986  -0.47028822],[226522.69   85053.4   115574.49   31514.291],[ 1 -1 -1  1],[13 13 11 11],[0. 0. 0. 0.],[ 481.6475   279.04703  134.78516 1816.8408 ],0.0,122.47108367247247
35,4,[31309.67  24378.107 15130.401 11328.33 ],[-0.671378   0.5212097  0.9244753  2.410173 ],[-2.9555085 -2.3553314 -1.1338415 -0.7801491],[38635.133 27765.225 22070.1   63584.14 ],[ 1  1 -1 -1],[11 13 13 11],[   0.     4683.6807 1070.3636 1029.3596],[-1149.5941   -778.01544  -243.05621  1269.8397 ],2.7210195098855252e-05,123.26757108925077
38,4,[52737.863 38499.918 20513.43   9592.943],[1.6730721 1.6345537 2.298112  1.857902 ],[-1.1766257   2.2469969  -0.16492513  1.2630885 ],[145455.86  102452.35  103139.64   31494.945],[-1  1 -1  1],[13 13 11 11],[0. 0. 0. 0.],[-133.76767    -28.7919      -2.6699371 1909.2163   ],3.1006038701997066e-05,122.72175410779506
41,4,[43622.246 32183.316 19731.357 13972.633],[1.1210668 0.3080449 0.862766  1.8472117],[-2.933312  -0.6332303  1.0346574  2.1492627],[74028.28 33722.56 27542.01 45409.57],[-1  1  1 -1],[13 13 11 11],[   0.       0.       0.    1546.819],[-657.3159  -526.70386 6070.5103  3337.579  ],1.544839213251908e-05,122.24677815956359
42,4,[64956.992 51742.586 42365.633 17386.643],[1.6528832 2.4291837 2.30012   2.2018015],[ 3.0383587  -0.70932233  0.96849865 -2.869298  ],[175822.73 295908.7  213430.19  79560.4 ],[ 1 -1 -1  1],[13 13 13 13],[   0.     2011.8336    0.     1577.6708],[ -53.679596 -391.07703  -391.07703  -247.46114 ],2.9487336167050815e-05,185.9025294937828
44,4,[74586.875 32853.324 21142.66   7900.309],[ 0.2863874  0.2093691 -0.8177409 -1.1390754],[2.5162306  1.2907255  0.05945496 2.9652674 ],[77666.56  33576.027 28614.715 13604.717],[ 1 -1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[ 394.65845 2514.3127  -564.50464 -564.50464],1.650222724819758e-05,126.62367048718342
46,4,[94190.234 82752.68  52386.75  33901.465],[ 0.6001565  -0.11496062  0.09929262 -0.10616679],[1.9594423 1.5864774 1.4147856 2.4888117],[111668.63   83300.11   52645.203  34092.703],[-1 -1  1  1],[11 11 11 11],[    0.   53364.29 82615.45     0.  ],[1212.6267  -144.42221  995.07404 -311.77258],2.0838347860927403e-05,121.8695265018359
48,4,[38607.523 36447.93  32296.742 20180.945],[-0.61984754 -0.14835337 -0.2754634   0.3681231 ],[ 0.32870427  0.856441    3.033339   -0.7545774 ],[46264.887 36849.902 33530.016 21564.123],[-1  1  1 -1],[13 13 13 13],[   0.        0.        0.     1363.1055],[-177.3656 -203.7207 3095.7285 -538.6643],2.3529374052083478e-05,123.79787733794086
50,4,[39848.49  22008.035 17577.71  11639.916],[ 0.2526442  -1.7873937   0.06172611 -0.2190677 ],[ 0.49009115 -2.6808167  -2.2987924  -1.442364  ],[41127.016 67578.516 17611.209 11920.339],[ 1 -1 -1  1],[11 11 11 11],[0. 0. 0. 0.],[-456.6526   190.34427  828.9442  -243.90768],2.47642042139767e-05,125.65109860273039
52,4,[51659.07  29012.508 21864.94  18581.49 ],[0.15637037 1.2433491  0.9234234  0.64788187],[ 2.5500574  -0.91790277  2.953847    1.2457567 ],[52291.934 54480.016 31868.723 22619.623],[-1  1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[  -62.944977 -1638.5447    -153.5591    2439.4114  ],2.496461779357918e-05,124.22190585489355
54,4,[91040.47  82603.84  29514.576 12507.299],[-0.12374299 -1.8447965  -1.3296044  -0.8494144 ],[-0.28145272  2.9023635   0.8535722   0.13270068],[ 91738.38  267837.6    59680.387  17297.234],[ 1 -1 -1  1],[11 11 11 11],[   0.        0.        0.     1357.1246],[-853.8395  -412.78012  711.53345 -832.48145],2.6588359948302528e-05,282.6588137612873
57,4,[132792.7    41220.066  25705.479  12679.446],[1.9364749 1.3977784 2.3600812 1.0070882],[-0.40689477 -1.7018107  -0.4561679  -1.3121068 ],[469984.97   88486.07  137347.25   19671.521],[ 1 -1  1 -1],[13 13 11 11],[0. 0. 0. 0.],[-205.43356  161.96014  683.7043   502.85767],2.6128417083537244e-05,129.04024640823494
58,4,[64154.465 29663.354 25004.838 18262.332],[-1.6430235 -1.3942946 -1.1701144 -2.0925426],[ 1.4813612 -1.6448119  1.5885314  1.1343335],[172067.89   63481.7    44167.203  75139.195],[ 1 -1 -1  1],[13 13 11 11],[0. 0. 0. 0.],[ 221.30843 -488.2665    73.32703  868.5511 ],2.7704079045828088e-05,119.88951814343486
60,4,[69642.25  48878.434 28978.58  11357.156],[0.38723192 0.3202599  0.05563619 0.5886115 ],[ 2.9597752 -1.6234843 -1.4349241 -2.8581994],[74929.2   51406.574 29023.635 13382.457],[-1  1 -1  1],[11 11 13 13],[   0.        0.     3035.9905    0.    ],[ 214.79779 2228.3708  1304.      -622.5486 ],2.8336539204660032e-05,122.52661743873207
