entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,totalWeight,mllll
335,4,[36903.926 33014.93  26942.785 26159.475],[-0.50261164 -0.25921848 -0.1658209  -1.0396426 ],[ 1.3433816  -1.7981311   0.42392582 -1.4165586 ],[41664.324 34130.523 27314.256 41617.07 ],[ 1 -1  1 -1],[13 13 13 13],[0. 0. 0. 0.],[-294.97192  625.1576  -330.1046  -878.9784 ],2.3320666169386154e-05,125.5065995824075
336,4,[34783.562 32960.332 27121.64  25262.826],[0.962626   1.1698222  0.84549594 0.47311932],[-2.7815857  -0.38028783  0.14663865  2.5130217 ],[52183.215 58205.438 37407.21  28143.602],[-1 -1  1  1],[11 13 11 13],[0. 0. 0. 0.],[ 761.12427 -636.8875   260.23077  145.21112],2.0380803366980878e-05,123.56288770384221
337,4,[109288.4    67842.98   44101.61   22822.287],[-1.045008   -0.62509984 -1.3378813  -1.2471361 ],[-0.34044382  0.39969787 -0.03906021  0.98726726],[174594.23   81535.06   89820.91   42993.625],[-1  1 -1  1],[11 11 11 11],[0. 0. 0. 0.],[1497.8805   441.51126  187.11456   91.30621],2.7935985715354144e-05,119.23142036933181
339,4,[112592.04   57934.637  16196.293   8675.467],[0.61856776 0.89988023 0.5332787  1.0134223 ],[-2.2825027   2.867499    2.6525433  -0.60360223],[134828.05   83018.28   18554.693  13525.413],[-1  1  1 -1],[13 13 13 13],[0. 0. 0. 0.],[ 2499.6187       6.131714   -59.828613 -1024.5112  ],3.303002609146966e-05,126.24362393581241
341,4,[105229.56   41696.027  30482.893  24336.838],[-2.1241767 -1.8204546 -0.5931987 -2.1048672],[-2.8782446 -2.5824018 -2.8716831 -2.2755132],[446464.75 132105.92  36005.25 101337.13],[ 1  1 -1 -1],[11 13 11 13],[   0.        0.        0.     1338.7274],[-1832.1067   -509.31677   779.6112    465.31488],1.770587708576616e-05,124.69641023196515
344,4,[45673.926 19873.584 17384.354 13558.077],[ 1.6053057  1.6572895  2.0693455 -0.3167965],[ 1.5968996 -2.8729792  0.1616997 -1.5243763],[118300.26   54013.82   69936.516  14244.131],[ 1 -1  1 -1],[11 13 13 11],[0. 0. 0. 0.],[ 182.30215  860.8511   587.01514 -450.01636],1.6048261514469642e-05,123.68243727589939
345,4,[76037.13  52030.008 26638.611 22243.268],[-0.3514883   0.27386525 -1.4537617  -1.361927  ],[-1.4095997  0.6111344  2.1328752  1.699638 ],[80782.73 53993.52 60108.4  46264.73],[-1 -1  1  1],[13 13 13 13],[0. 0. 0. 0.],[-348.61432  856.3742  -348.61432 -348.61438],2.863277634463636e-05,212.63326104848133
346,4,[80826.67  50359.52  17647.982  8706.534],[-0.40007216 -0.7574738  -1.5731549   0.40309623],[-2.4541605  -2.7284067  -0.73291063  0.40205133],[87381.875 65511.04  44377.85   9424.104],[ 1 -1 -1  1],[11 13 11 13],[   0.        0.     1096.3551 2204.9456],[-473.94333  -528.4094    112.80786   125.890015],2.7970979374096576e-05,126.86339847357158
347,4,[61270.73  59001.7   28221.217 15838.624],[1.1050762  0.58771944 1.2521756  0.07689062],[-0.17581883 -1.3216351   0.40547282 -1.6311389 ],[102648.14   69488.5    53392.203  15885.818],[-1  1 -1  1],[13 13 13 13],[3063.2732    0.        0.        0.    ],[ 224.40967 -326.31934 -470.71973 -470.71973],3.0484312601995916e-05,124.96957635438778
350,4,[65313.49  30267.486 12390.42  11326.104],[ 1.1106588  0.6978932  1.3619826 -1.2124462],[-2.5094209  2.5025473 -2.772531   1.7103631],[109912.85   37942.523  25772.557  20722.32 ],[-1 -1  1  1],[13 11 11 13],[0. 0. 0. 0.],[-1080.7623 -1493.8638 -1179.1528  -943.4933],1.6687518310355374e-05,126.02166459292859
352,4,[38177.973 33799.883 20318.465 14159.905],[ 0.9543142  -0.46222645  0.34446138 -0.43265718],[-2.3632529   2.1476746  -0.93978655 -0.7700685 ],[56922.79   37475.508  21535.861  15506.0205],[ 1 -1 -1  1],[13 13 11 11],[0. 0. 0. 0.],[-569.2162    -48.522095  536.4875    219.8128  ],2.5097421374984856e-05,124.0666107695814
353,4,[65537.664 34743.72  28678.494 12800.494],[-1.5182203   0.0111999  -0.70101887 -2.4645212 ],[ 0.70080036 -2.6591966   2.6081512   2.6173646 ],[156739.81   34745.9    36018.695  75797.484],[ 1 -1 -1  1],[13 11 13 11],[0. 0. 0. 0.],[ 149.80219  524.761   -548.8103  5066.134  ],1.6428619067432733e-05,180.61299477507126
354,4,[51522.56  29894.787 27769.768  9399.673],[ 0.85225165 -0.19102019  0.1585299   0.554104  ],[ 0.17549124 -3.1042163   1.4861383  -0.5863503 ],[71394.15  30441.86  28119.648 10880.482],[ 1 -1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[1162.2925    99.84335 1595.5822   768.4044 ],2.082914383097027e-05,122.80067534127822
356,4,[92864.17  60392.58  30814.984 18980.367],[-0.33596167 -0.5390674   0.26787785  0.1354167 ],[2.8031418 1.4978055 1.7250392 2.5167391],[98154.51  69382.07  31927.23  19154.662],[-1  1  1 -1],[13 13 11 11],[0. 0. 0. 0.],[-687.42676  758.4663   369.55396 4063.832  ],2.0655563434603384e-05,128.47255631698658
360,4,[66095.49   40316.676  17818.502   7981.3174],[1.5311315  1.1527814  0.18248735 2.1970246 ],[ 2.1823673 -2.0800369  3.1026604 -2.7208786],[159941.05   70206.38   18116.02   36352.242],[-1  1 -1  1],[11 11 11 11],[1311.8995 1318.2781    0.     4475.355 ],[ -107.07776 -1097.3953   -368.79968  1776.645  ],1.9936841621376584e-05,124.12098289656349
361,4,[116908.41   27619.656  17612.598  16320.34 ],[-0.78212184 -0.78419924 -1.64518    -0.37221056],[ 0.08895177 -0.76827854  2.990302   -0.48516604],[154526.05   36556.66   47333.156  17464.287],[-1 -1  1  1],[11 13 11 13],[ 1195.7186     0.     53763.082      0.    ],[1233.8547  -526.5458  3617.7883  -134.03186],1.535528421960522e-05,129.73358074563149
362,4,[72329.75  56090.324 30637.082  8615.128],[-0.8042463  -0.8362538  -1.3483834  -0.26366886],[-3.0511942 -2.5292928 -0.7151701  3.096142 ],[97010.03  76872.81  62972.383  8916.334],[-1 -1  1  1],[13 11 13 11],[   0.        0.        0.     1235.2866],[ -248.99524   -105.397156 -1353.2283    2341.9177  ],1.6569074880246975e-05,125.82060062324896
364,4,[118909.14   98577.85   85872.42   12474.095],[-0.32330704 -0.9758583  -0.32428616 -1.3245395 ],[ 0.14517638 -0.30986914 -0.10462535 -0.09891125],[125178.09  149360.84   90427.43   25112.938],[ 1 -1 -1  1],[11 11 13 13],[83751.305      0.     63153.527   1700.0084],[  155.01178 -1547.0275   1558.313    2071.07   ],3.074066611338492e-05,123.86160904269745
365,4,[71454.08  44588.87  28248.355 19567.926],[1.7648753 0.8459721 1.2475955 2.3544667],[-0.38004872 -1.8678666  -0.8752009  -0.82193047],[214792.81   61518.863  53236.22  103978.62 ],[-1  1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[  -2.0773926 1954.3218    -480.3822     552.7723   ],1.844876906359531e-05,126.08124585990896
369,4,[63929.414 30943.48  23821.629 15012.321],[-0.16997433  0.00221534  0.5962527   0.37205   ],[ 1.0626012 -1.5331914  2.0767758  1.5338973],[64855.14  30943.557 28183.078 16063.374],[-1  1  1 -1],[11 11 11 11],[0. 0. 0. 0.],[ -622.4581   -915.53534 -1132.8513    751.65967],1.5280852021781635e-05,123.97018026709496
370,4,[90602.42  38241.26  27452.215 26799.957],[-0.38797328 -1.298062   -0.8964658  -1.8690413 ],[-0.03897652 -0.08702538 -0.71618277 -0.78075045],[97507.27  75244.59  39242.188 88926.95 ],[ 1 -1  1 -1],[11 13 13 11],[   0.     1133.9803    0.        0.    ],[1796.9066  -855.8588  -418.9195   675.05444],2.907882820650277e-05,120.96398191775593
371,4,[28036.848 19087.512 16017.392 15753.708],[1.7397212  1.7222886  0.16637494 1.6192795 ],[ 2.8752112 -1.4031023  2.4379992 -0.9886473],[82306.71  55124.652 16239.589 41333.867],[ 1  1 -1 -1],[11 13 11 13],[   0.     3462.8325    0.        0.    ],[-746.82587 1555.5933  -463.66452 -412.32422],1.3260025369275208e-05,90.42170016339105
372,4,[530545.1   157237.11   96731.31   18933.998],[-0.9094586  -0.9435613  -0.7528959  -0.69830096],[ 2.8026915  2.7107806 -3.1178043  2.451406 ],[765502.4   232581.52  125467.336  23741.234],[-1 -1  1  1],[13 13 13 13],[151365.     435976.2         0.       1750.1246],[   16.833618 -1280.4015    -770.8834    1345.5057  ],1.5000905759203706e-05,123.84989146506432
376,4,[58902.54  44609.34  26936.383 10875.512],[ 0.7500107  -0.10413755  0.01684038  0.6313262 ],[-2.4728518  2.0683632  2.383515  -1.7004632],[76260.66  44851.445 26940.203 13115.804],[-1  1  1 -1],[11 11 11 11],[   0.     1453.6941 1229.1023    0.    ],[  83.39807 1864.6525   432.46228  692.56793],1.5768498700944935e-05,124.01571339473256
380,4,[64125.76   32116.865  19830.682   8089.0703],[-1.6448027  -2.434273   -0.84527665 -1.705955  ],[-2.3353505  2.222357   0.7614751 -2.860812 ],[172275.1   184594.64   27347.11   23006.291],[ 1  1 -1 -1],[11 11 11 11],[0. 0. 0. 0.],[ 147.78058 -788.0405  -160.94617  293.725  ],0.0,128.4747222203007
381,4,[60646.97  49309.547 45552.72  16520.156],[1.2414426 0.5708706 0.5303324 0.3157618],[-2.892225  -1.1650555  2.5121336  1.5497606],[113700.     57565.06   52110.285  17350.598],[-1  1 -1  1],[11 13 13 11],[0. 0. 0. 0.],[-916.788   607.5378 2055.712  2434.1812],3.0111192264550502e-05,165.62045215143405
383,4,[48075.117 44450.86  17627.74  13612.082],[2.1534643 1.8686107 2.07067   2.2406502],[-1.0844792  1.5220414  3.125968   1.1554226],[209865.5   147435.23   71006.61   64697.066],[ 1 -1 -1  1],[13 13 11 11],[   0.        0.     1173.5621    0.    ],[ -43.692375 1828.0038    480.19537  1415.1102  ],3.8721626195882064e-05,123.51861409155971
384,4,[67080.516 54219.008 36843.957 19051.062],[-0.05031172 -0.12610014 -1.0188837  -2.0442932 ],[-1.7793734   2.128333    0.52873033  0.8572248 ],[67165.43  54650.758 57681.027 74805.68 ],[ 1 -1 -1  1],[11 13 11 13],[0. 0. 0. 0.],[-196.60004  -87.40503  467.24603 1017.769  ],3.654392353661728e-05,219.9355620133764
386,4,[44459.88  39897.92  28528.836  8647.788],[0.22139445 1.2079582  0.39012375 0.39821094],[-0.2813628   2.8521562   0.06243112  1.3725758 ],[45553.95  72722.97  30727.688  9343.143],[-1  1  1 -1],[11 11 13 13],[   0.     3008.5227    0.        0.    ],[ 1573.2644    591.        838.00195 -1277.3992 ],1.5208401675205156e-05,128.24403225950496
387,4,[100927.11   33574.56   26564.678  19498.137],[-2.3452704 -2.337278  -1.3674952 -2.5404322],[ 0.05127304  0.76930976 -1.8250806   2.760525  ],[531477.9   175420.45   55523.496 124437.01 ],[-1  1 -1  1],[13 11 11 13],[1092.3895    0.        0.        0.    ],[-112.830475  878.0571   2590.392    -477.371   ],4.117049738126427e-06,164.49031875798119
389,4,[75708.71  27359.27  24400.68  12578.483],[-1.6759459 -1.1723919 -1.6412275 -0.9612051],[-0.40934092  1.2389294   2.3307931   0.28403008],[209371.62   48416.91   65335.79   18850.898],[ 1  1 -1 -1],[11 13 11 13],[   0.        0.        0.     1773.3306],[1671.5281  -640.6147   637.2584   165.57233],1.1315137602718002e-05,123.54305316923185
390,4,[44985.848 35124.895 26423.787 14744.291],[ 0.64849156  0.23750381 -0.16682804  0.21705198],[ 2.7058125  -0.26989454  1.4155023  -0.7418024 ],[54781.332 36120.38  26792.35  15092.97 ],[-1  1  1 -1],[13 13 11 11],[0. 0. 0. 0.],[-747.67053 1509.5013   606.569   2207.017  ],1.656740128355652e-05,124.19032934707349
391,4,[41980.168 35560.027 30561.596 23634.127],[0.4673983 0.2528114 0.6651965 1.4426613],[-1.10506     1.0509783  -0.70250577 -0.03495377],[46649.895 36702.63  37576.32  52801.598],[ 1 -1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[-240.75    -567.38306  214.64209 -751.0325 ],1.8689093338038867e-05,113.0110342776538
394,4,[283207.78   49635.066  12677.392  10652.084],[1.2676255  0.74986905 0.15392631 2.1162806 ],[-1.1632824 -1.2874444 -1.6616882 -1.0506119],[542896.06   64256.434  12828.309  44848.93 ],[-1 -1  1  1],[11 13 13 11],[0. 0. 0. 0.],[ 1360.2051    499.0454  -1301.7031    803.22485],1.329883988083925e-05,120.31973895422303
395,4,[69496.13  61603.89  57984.797 20974.559],[1.5153437  2.184983   0.88956004 1.4536384 ],[1.565959  1.7233441 1.0752577 0.9991581],[165773.25  277309.22   82480.4    47322.625],[ 1  1 -1 -1],[13 13 13 13],[0. 0. 0. 0.],[-756.90717  226.78531 1344.4661  -718.8194 ],1.7838994936451536e-05,123.47480895130985
396,4,[57209.895 54184.184 35168.11  25423.195],[-0.37232396 -0.44820002 -1.1218464  -0.11294428],[1.1379135  0.18473041 1.7565928  2.0210817 ],[61221.28  59718.25  59718.902 25585.521],[ 1 -1  1 -1],[11 11 11 11],[   0.     1574.5844    0.        0.    ],[-126.06946  980.60156  401.68503   42.68158],8.78346773974069e-06,122.95567180533037
399,4,[50161.44  48666.14  20963.82  15551.725],[ 0.52805203 -0.07256901  1.6284727   1.1412455 ],[-1.6820345  1.6601421 -1.5853975  1.4181613],[57318.945 48794.457 55473.664 26827.395],[ 1 -1  1 -1],[11 13 13 11],[   0.     3731.7236 1033.593     0.    ],[  498.63327 -1671.5112   -839.4442    144.80981],1.1779576472967984e-05,160.93112750549736
401,4,[48369.223 37682.99  27656.91  15665.574],[0.37845144 0.96584594 0.6197677  0.4570073 ],[ 0.7606062  -0.51762146 -1.9828912   3.0451982 ],[51874.617 56668.996 33140.8   17330.168],[-1  1 -1  1],[11 11 11 11],[   0.        0.     3879.3616 1062.102 ],[-1097.3915    829.99316  1421.9785   -698.78674],1.5164259622693862e-05,126.44258662893344
404,4,[52820.344 20765.184 19651.541 17626.812],[ 1.3103342   0.7351738  -0.0136938  -0.06600033],[-0.07638099 -0.18812314  2.1957896   1.6771157 ],[105037.016  26634.326  19653.383  17665.533],[ 1 -1 -1  1],[11 13 11 13],[0. 0. 0. 0.],[ 255.36673 -174.65326 4114.618   -367.4743 ],3.878975195658096e-05,114.44452917572787
407,4,[47578.65  47541.02  19957.787 12022.812],[-1.0173922  -0.9282466  -0.23371613 -0.46534675],[-1.4170084   2.5909162  -2.214432   -0.45683157],[74401.32  69536.234 20505.352 13348.229],[-1  1  1 -1],[11 11 11 11],[   0.    1096.265    0.       0.   ],[2759.4167  4218.5586   371.76938 1825.467  ],1.2516198102010782e-05,120.4591914940593
409,4,[69929.945 39709.18  21341.791 17123.371],[-2.4494472 -2.4992852 -1.6424621 -1.7176775],[-1.6438408  -0.728366   -0.19363062  1.9968679 ],[407981.22  243336.55   57210.734  49238.844],[-1  1  1 -1],[11 13 11 13],[1114.0219    0.        0.        0.    ],[-176.88025 -605.9668   719.3744  -135.92773],1.550418019254843e-05,126.85219046301556
410,4,[55421.87  21676.1   15692.984 11896.175],[-2.139689  -0.5518048 -1.4163715 -1.7248558],[ 2.3175185  -0.01820961  0.87526345 -2.4564366 ],[238715.48   25060.975  34247.973  34439.055],[-1  1 -1  1],[13 13 13 13],[   0.     1877.7422    0.        0.    ],[-600.6304  -709.1707   -88.35748 1600.394  ],4.270841319717397e-05,117.13688669359334
411,4,[83143.91  74395.92  61536.137 19126.918],[ 1.0939306   0.00226625  0.42529705 -0.22870371],[-1.7378138 -1.6056271 -1.8282509 -1.9547681],[138055.73   74396.19   67185.87   19629.607],[ 1 -1 -1  1],[13 13 13 13],[   0.    1381.989    0.       0.   ],[-855.1204 -417.5556 3708.7693  579.0047],1.6853232952645187e-05,125.65563379222802
412,4,[60495.24  32226.543 20711.004 11647.728],[-0.18122107 -0.72839725 -0.76213735 -1.6020014 ],[ 1.9764205 -0.6659692  2.6312473  2.023663 ],[61491.324 41160.375 27023.088 30077.229],[-1  1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[ 212.36081 2895.8843  -820.16864 -403.37677],2.768495824123163e-05,123.3137091675961
413,4,[63098.016 25711.988 21886.035 12800.877],[ 0.5594474   0.83408314 -0.8636534  -0.2616179 ],[ 1.4577048  1.8200696 -2.4770997  3.1010733],[73232.586 35186.527 30568.725 13241.452],[-1 -1  1  1],[13 11 13 11],[0. 0. 0. 0.],[1819.837   -295.78223 -214.26453  698.3329 ],0.0,124.1721842255725
415,4,[83181.18  22350.97  17156.06  10747.166],[0.82348424 1.6188047  1.7880719  1.6243776 ],[-3.1384013  2.502938   2.9810922  2.1805305],[113015.125  58617.535  52713.797  28331.305],[ 1 -1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[  91.15561  960.76904  221.34634 -379.87656],2.1157689055844326e-05,71.1591676874031
416,4,[52487.086 38195.176 14155.938 13791.988],[-2.0881896 -1.079116  -1.9323788 -0.8231722],[ 1.4984142  -0.25305203 -2.2028685   1.5414879 ],[215044.9    62677.777  49904.79   18734.695],[ 1 -1 -1  1],[11 11 11 11],[0. 0. 0. 0.],[ 227.71292 -651.1146   419.32172 -450.14993],2.8968485104670648e-05,123.43515321808299
417,4,[36063.582 29082.158 24215.18  17389.73 ],[0.06934146 0.8105481  2.3186696  0.7731185 ],[0.6849378  1.9367579  0.10680898 1.5126593 ],[ 36150.316  39170.1   124230.52   22850.83 ],[-1 -1  1  1],[11 11 11 11],[0. 0. 0. 0.],[-350.57227  -997.39734  -105.560715  913.4779  ],2.432494598180255e-05,124.08541607160839
420,4,[38786.902 18820.787 13641.342 13159.134],[-0.27674958  1.1158917   1.3669871   2.31257   ],[ 1.7397538  1.9588597 -2.7628198 -2.4132717],[40281.758 31806.299 28499.393 67107.35 ],[ 1 -1  1 -1],[11 11 11 11],[   0.     1019.9899 1298.25      0.    ],[1690.2712  -786.90393 -297.49243  489.65924],1.2176279035836978e-05,117.95540183539418
421,4,[78392.1   32856.164 22283.74  15369.014],[-1.6127795  -0.1380855  -0.47093323 -0.12484507],[ 1.9415486 -2.2820547 -2.2073562 -0.8922672],[204449.31   33170.074  24800.996  15489.303],[ 1  1 -1 -1],[13 13 13 13],[0. 0. 0. 0.],[ -93.81442 -743.8711  -698.2197  1579.4302 ],2.1843045696596227e-05,177.56597851984935
422,4,[53942.25  47853.215 11243.265  8099.262],[0.5351176 1.027997  1.8022263 1.694563 ],[ 2.539218  -1.8125827 -1.5082237  2.5332074],[61851.52  75444.99  35011.875 22791.105],[ 1 -1  1 -1],[11 11 11 11],[   0.        0.        0.     1679.8606],[-794.74756 -377.38202 1395.4242   197.02737],1.804970271456513e-05,115.19224402618136
423,4,[53461.3   36983.062 14562.487  7202.539],[-0.4226497 -0.9829427 -0.8774471 -2.1069503],[ 0.40065655 -2.2340298  -2.9133663   2.0631554 ],[58307.777 56334.76  20537.719 30051.818],[-1  1 -1  1],[11 11 13 13],[   0.     3114.8657    0.        0.    ],[1578.2308    -57.323822 -988.1002   1194.8145  ],1.6128858803426088e-05,123.37386114624026
424,4,[39880.523 35407.13  22167.822 17251.527],[1.1800501 1.1284246 0.8783778 0.7077749],[-1.9006643   0.9506189  -2.2584295  -0.16840442],[71023.32  60445.836 31283.766 21755.986],[ 1 -1 -1  1],[13 13 11 11],[0. 0. 0. 0.],[-201.39148 -551.35767 1426.2603  1178.3965 ],1.9933930495417263e-05,112.33559282523
425,4,[53884.285  26697.6    15181.947   7139.9893],[-0.9109117   0.42589846 -1.134737    0.87741655],[-3.1353164   0.23545215  0.7872105  -2.9065776 ],[77829.    29155.754 26051.389 10069.85 ],[-1  1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[-531.67834   -21.582733   14.888855 -396.41034 ],2.8209421040223466e-05,127.46685232453964
426,4,[188583.34   61641.33   55817.438  35417.074],[-0.16201548 -0.12155787  0.04159525  0.42558372],[2.0428045 2.2906759 2.9724169 2.0257273],[191063.83   62097.395  55865.73   38673.32 ],[ 1 -1 -1  1],[11 13 11 13],[ 61327.23 197248.81      0.        0.  ],[-122.07727    72.591     -12.693726  410.1662  ],3.100012622923257e-05,128.0367520328903
427,4,[52226.324 42777.805 15849.124  8209.163],[ 0.6239649   0.31313738  0.17308053 -0.730038  ],[ 2.128085   -0.47169998  2.2970903  -2.3977199 ],[62727.18  44892.29  16087.112 10495.621],[-1  1 -1  1],[11 11 11 11],[0. 0. 0. 0.],[ -92.113464  664.2765    699.6115   1584.6665  ],2.6840824941235535e-05,122.53265922774905
429,4,[112054.44   93179.58   31642.605  15241.583],[-1.251245  -1.8479655 -0.7399725 -0.5439766],[-2.618181  -2.4531956 -2.5766573 -1.7161208],[211829.95  303041.     40708.426  17553.133],[ 1 -1  1 -1],[13 13 13 13],[0. 0. 0. 0.],[-750.3749  -123.95865 -488.52625 -330.75647],1.8907112012027577e-05,123.18212488273296
430,4,[55789.    28375.809 28239.648 19613.46 ],[1.0499635 0.980268  1.1340476 1.980498 ],[ 0.7500366  -1.9559126  -1.2752842   0.38313258],[89471.53  43136.633 48430.27  72416.414],[ 1 -1  1 -1],[11 11 13 13],[   0.     1976.2295    0.        0.    ],[ 328.02423  464.06232 -882.46    -396.27408],2.041635940232909e-05,127.46136087747071
434,4,[98764.25  69042.85  28095.865 16082.257],[ 0.67917365 -0.15493695  0.17693663  1.9506503 ],[ 2.2358277 -1.0043594 -1.3768816 -1.7932186],[122432.266  69873.3    28536.807  57698.746],[ 1 -1 -1  1],[11 13 11 13],[   0.     1687.1406    0.     5385.988 ],[ 987.722  -809.6033 4046.302   289.4884],2.168881015325965e-05,248.281116726074
436,4,[85918.24  58107.008 10826.805  8380.707],[1.7023118  1.3848495  0.39000073 0.82915235],[-1.2348763   0.24437098 -1.3273731  -0.27091983],[243530.05  123320.16   11660.676  11430.424],[-1  1  1 -1],[13 13 11 11],[0. 0. 0. 0.],[-118.406136 -273.514     852.23254   776.91614 ],3.0457420775210525e-05,122.32091656968053
439,4,[71583.    47377.844 26680.426  9454.412],[-1.0675807  -0.36011487 -2.0070212  -1.1336557 ],[-2.3212657  2.9650981 -2.1594765  1.8106443],[116400.24   50483.34  101058.93   16209.218],[ 1 -1  1 -1],[13 13 13 13],[0. 0. 0. 0.],[-943.6711      -6.3773804  522.286     -208.47308  ],2.2675417205655432e-05,128.4107989194249
441,4,[43787.51  43344.707 20162.662 10512.906],[ 0.06054457 -0.83621466  0.4237366   0.38796884],[-2.4684796   3.065769    0.19763827  0.4918992 ],[43867.918 59403.215 22000.293 11314.574],[ 1  1 -1 -1],[13 13 13 13],[ 1806.4381  2144.1128 10328.115  20424.34  ],[ 692.8705   293.08997 -421.24377 -883.3236 ],3.193078432775725e-05,124.33437813746326
443,4,[56431.17  43381.387 16022.225  9799.387],[-0.19413427 -1.5516602  -0.6659826   0.01340103],[-0.75021994  0.05886006  1.9485713  -0.155834  ],[ 57498.004 106961.08   19708.703   9800.267],[ 1 -1 -1  1],[13 13 11 11],[2211.5793    0.        0.        0.    ],[-1009.0955    -560.3938     -16.105072   421.19022 ],1.9993964949924465e-05,121.9609527736009
445,4,[51759.22  22503.666 15560.048 12367.629],[-1.9656299  0.1431389 -1.7798384 -1.0714822],[-0.3233751  -1.7935381   0.19553123 -2.1607947 ],[188390.03   22734.842  47439.19   20172.867],[-1  1 -1  1],[13 13 11 11],[   0.        0.     1763.2072    0.    ],[ 304.84232 -269.41443  292.22617 4191.723  ],2.853325372958279e-05,126.08268782368835
446,4,[113526.02   98931.96   27428.469  13721.834],[1.2598329 1.9507874 2.1200383 1.3713509],[ 0.2327873  -0.28329974 -0.76691383 -0.50511575],[216183.84 354987.   115905.67  28777.86],[-1  1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[-606.05237   -33.976585  -83.942276    4.466278],3.0986722418901275e-05,126.99371292176133
447,4,[43295.9   35356.598 20941.057  8711.534],[ 0.6912531  -0.65811974 -0.3874299  -0.61156327],[ 2.9257147   0.47059277  2.8189626  -1.0276493 ],[54058.465 43293.832 22532.46  10392.045],[ 1 -1 -1  1],[11 11 11 11],[0. 0. 0. 0.],[-532.57874  -618.7418    -73.827576 -155.7735  ],2.6507967159930006e-05,125.0831271865772
450,4,[45448.176 35918.004 19796.145  9416.977],[-0.14891481  0.8750418   0.6332605  -0.698849  ],[-1.0311966  1.7314364  2.4761102  0.6399932],[45953.027 50569.32  23900.125 11812.155],[-1  1  1 -1],[11 11 13 13],[   0.       0.    2978.656    0.   ],[ -268.39886  -730.50977  -537.8014  -1075.1307 ],2.7697901925249115e-05,126.33096398918843
453,4,[49191.895 27546.74  16255.459 15950.428],[0.7092192 1.9518449 1.4139161 0.9528155],[ 2.373984   -0.72982633 -1.4942762   0.5545041 ],[62090.887 98943.52  35398.176 23755.635],[ 1 -1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[-144.04669 -350.02863 -600.14484 -600.14484],3.2567172100745054e-05,123.72037104262213
458,4,[89380.125 49406.06  15217.951  8948.454],[-2.2608805 -1.6588299 -2.1643376 -2.5209842],[-0.82265216 -1.4134991   2.0817976  -2.062486  ],[433305.44 134471.53  67138.99  56022.86],[-1 -1  1  1],[11 13 11 13],[0. 0. 0. 0.],[1491.4324  -147.90111  832.63745 -147.90111],2.786279555784172e-05,117.19469886362957
460,4,[52056.    25256.693 19626.055 11713.483],[-1.007824   0.4414081  0.5154596 -0.6462978],[ 2.822999  -0.792116   2.4933195 -2.1691399],[80807.71  27757.426 22291.855 14246.59 ],[-1  1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[  151.74075 -1078.1614   -328.53296  -899.6084 ],2.7457252855760508e-05,125.92586077010303
461,4,[41625.918 24316.418 21254.033 19446.402],[ 0.64452904  0.03128343 -0.8820609  -0.4535015 ],[-3.118649  -1.5925155  1.3598435 -0.7997288],[50575.477 24328.547 30072.543 21480.62 ],[-1  1 -1  1],[11 13 13 11],[1707.166  1108.1182    0.        0.    ],[    2.73526  1741.7678    208.96027 -1426.4758 ],2.9045566788000598e-05,122.75215023445688
465,4,[41517.965 30688.482 29611.637 22008.828],[ 0.26734027  0.02510902 -1.3669899   0.63021404],[-0.7915337   0.70021653 -0.03092014  0.5148144 ],[43010.613 30698.338 61864.656 26526.244],[-1  1  1 -1],[13 13 13 13],[0. 0. 0. 0.],[ 276.80103 -509.18018  718.60364 -645.2373 ],3.1040548175533457e-05,123.44179617828344
466,4,[96413.016 41659.92  10941.987 10335.115],[ 0.5742587  1.0111786 -0.6214256  1.4717699],[ 1.6638649 -3.0984538  1.6026794  1.2243385],[112751.92   64835.938  13124.016  23701.025],[ 1 -1 -1  1],[11 11 13 13],[   0.        0.     1385.5703    0.    ],[ -508.72986 -1013.4234   -552.25214  -308.50735],3.0113643264196007e-05,124.87354802340606
468,4,[40604.527 37309.74  23577.215 19500.727],[-0.7679493  -1.7388333   0.23464514 -1.7248868 ],[-2.129326   2.7770529  2.8792734 -2.2074654],[ 53177.93  109437.45   24229.49   56455.473],[-1  1 -1  1],[13 13 13 13],[0. 0. 0. 0.],[2388.1587   659.2074  1274.0789   308.50992],2.045680991856449e-05,126.23434040164572
469,4,[71673.59  45085.45  31078.73  29197.838],[-1.8936073 -1.7120365 -2.42327   -2.352194 ],[ 3.0614614 -1.4576163 -3.0698667 -2.3748062],[243468.66 128960.85 176703.2  154803.48],[ 1 -1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[1636.8235   966.3889   854.61115  -31.95221],2.8969254989221873e-05,126.63687661907106
