entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,mllll
1,4,[175558.73 138846.67 106696.53  79776.73],[2.076854  0.9641987 0.4538123 2.3985784],[ 1.2929627 -2.2561386 -1.7970102  0.5870669],[711421.06 208545.92 117873.27 442695.56],[-1  1 -1  1],[11 13 13 11],[0. 0. 0. 0.],[2027.6957 -366.9414 -366.9414 2243.6816],649.27195403843
2,4,[65284.066 37290.766 12426.926  8804.564],[0.10315169 0.43131045 0.98646265 1.1151001 ],[ 2.3295352 -2.4817212  2.2234292  2.4967396],[65631.695 40813.45  18980.092 14870.211],[-1  1 -1  1],[11 11 13 13],[0. 0. 0. 0.],[ 306.7437 3359.6187 1629.6622 1831.9429],87.90604188344372
