entry,lep_n,lep_pt,lep_eta,lep_phi,lep_E,lep_charge,lep_type,lep_ptcone30,lep_etcone20,mllll
0,4,[49045.12  38049.31  35706.69  34415.664],[-0.8824111  -1.7335045  -1.3760306  -0.13118172],[-2.775975    0.22967395  0.7241392  -1.7246517 ],[ 69411.28 111049.2   75193.62  34712.21],[ 1  1 -1 -1],[13 11 13 11],[   0.     2337.8557    0.        0.    ],[-625.4644  3332.2244  1638.8647  -245.04623],183.13731789081888
1,4,[28315.65  27379.48  18381.793  7977.39 ],[2.3774438 1.713762  1.0104392 1.1597165],[-1.45692    -2.9390755   1.5281202   0.80557835],[153897.1    78442.11   28591.844  13971.219],[-1  1  1 -1],[13 13 13 13],[0. 0. 0. 0.],[-182.62598  160.2649  -704.3999  -704.3999 ],92.41864371571221
2,4,[52658.766 50908.273 39159.105 28929.13 ],[2.245771  1.0578663 0.9952149 1.8823078],[-2.237309    0.27803475 -2.8618033   0.6080705 ],[251538.88   82151.055  60206.137  97214.68 ],[ 1 -1  1 -1],[11 11 11 11],[   0.       0.       0.    5986.037],[-262.6917  1655.8508   652.73987  958.05597],197.80512102851972
6,4,[65421.633 35774.56  15092.131 11639.622],[-0.8339631  -1.074573    0.03371396 -0.3203671 ],[-1.8763368   0.40994343  1.4608458   2.0912402 ],[89521.33  58494.727 15101.078 12242.521],[-1  1 -1  1],[11 11 13 13],[   0.     1037.0394 2404.3115 3016.027 ],[ -15.888855 1050.9368    500.09924  -614.68567 ],133.75764368950203
7,4,[63783.8   40107.074 21195.172 10364.31 ],[ 0.2946816  -0.67820746  1.236929    1.3933258 ],[-0.17143026 -1.8585001  -2.9653988   2.992877  ],[66573.305 49690.03  39585.22  22161.598],[ 1 -1  1 -1],[11 11 13 13],[0. 0. 0. 0.],[-898.95105 -458.3778  -130.6742  -663.15405],163.6796746334314
9,4,[99818.43  28418.986 10979.692 10289.164],[-0.12197401  1.1720377  -0.65592223 -0.3944211 ],[ 0.5109836  1.4919821 -2.8764486 -2.7740757],[100561.88   50277.45   13427.932  11100.429],[-1  1  1 -1],[11 11 13 13],[    0.        0.    10294.74  11224.285],[ 823.46277 2144.0828  -589.59155 -589.59155],143.85903768653392
12,4,[80432.46  42100.566 28484.209 14414.887],[-1.9121411 -2.0476964 -1.7332374 -1.0897288],[-2.6314418   0.26017183  1.3968145   0.09860779],[278108.38  165856.42   83112.02   23855.018],[-1 -1  1  1],[11 11 11 11],[0. 0. 0. 0.],[ -256.27213  3364.8337   1847.65    -1011.7357 ],170.65659187536667
