entry,photon_n,photon_pt,photon_eta,photon_phi,photon_etcone20,photon_ptcone30,photon_isTightID,myy
2779,2,[50503.797 31079.838],[ 1.1984264 -1.0355035],[ 0.8658459 -2.8196278],[-1356.2186    669.30347],[ 4082.9172 26644.979 ],[ True  True],132.32328830930834
2800,2,[132740.16  37359.96],[-0.14351057 -0.13753438],[-2.624338    0.19305794],[-1754.5212 -1113.2896],[0. 0.],[ True  True],138.99700960275734
2821,2,[59655.477 41449.402],[-1.2377517  -0.73214734],[ 2.3193653 -0.8151072],[-895.69073 1101.2756 ],[ 1472.8502 12181.279 ],[ True  True],102.64646884389882
2940,2,[47371.688 42536.664],[ 1.6190448e+00 -9.9435565e-04],[-1.5381489  1.4279034],[3060.66     163.30707],[0. 0.],[ True  True],120.62104283790549
2948,2,[58440.76  52963.164],[-0.6643967  -0.49053213],[ 2.3014922 -0.9367064],[-437.58038 2200.029  ],[   0.     1598.1951],[ True  True],111.56059753165364
2978,2,[54242.42 36850.16],[1.7443763 0.7131913],[-0.5078445  2.2683866],[   5.970215 2483.1064  ],[0. 0.],[ True  True],100.26014776849674
3008,2,[71969.445 41169.484],[-2.0915506  -0.61644024],[-2.184875    0.57535166],[3704.9673 -596.7363],[21473.725  3970.225],[ True  True],138.31307892483866
3034,2,[59397.7   31014.135],[-0.2298598 -1.5502619],[ 1.1141971 -1.9092164],[3938.1914  372.9779],[0. 0.],[ True  True],105.11580996756435
3036,2,[176724.78   33320.652],[0.9363968  0.12041588],[ 0.5991422 -1.2787577],[-711.82684  328.1176 ],[0. 0.],[ True  True],139.572898755595
3102,2,[44415.082 31680.182],[ 1.6420454  -0.23165442],[ 2.4655135 -1.1693189],[ 702.0942 3263.308 ],[0. 0.],[ True  True],108.89517697423487
3171,2,[73489.234 31056.076],[-1.1086831 -1.8686891],[-0.18618478  2.7163699 ],[3091.8777 3638.977 ],[33922.41  18278.781],[ True  True],101.89366418617867
3188,2,[69936.03  60663.438],[-1.3540561  -0.32970366],[ 2.659344  -0.6971663],[ 343.315   -233.42407],[0. 0.],[ True  True],147.07099720190774
3243,2,[51592.14  39231.332],[ 0.55321646 -0.7311416 ],[-1.6674453  1.8635122],[-447.32568 3197.7556 ],[    0.   18258.92],[ True  True],107.78156033293466
3252,2,[61190.625 56047.742],[-0.42015183  1.0680298 ],[-1.3026848  1.9302791],[-194.07162 -517.70404],[   0.     1442.4779],[ True  True],150.97921788455514
3476,2,[60679.85  51652.926],[1.6024077 1.0572436],[-1.0343395  2.174395 ],[3942.8313 2206.136 ],[ 9844.297 16424.03 ],[ True  True],116.09421995409309
3671,2,[59155.836 40795.152],[-0.13669996  1.5733836 ],[-0.20116343  2.131679  ],[ -78.91055 2889.6462 ],[1275.9778 4081.9563],[ True  True],130.8155211568546
3682,2,[161238.52   34024.477],[-2.2660859 -2.223834 ],[ 0.1956453 -2.2148318],[2196.1516  -270.96872],[214946.62      0.  ],[ True  True],138.38308237147217
3753,2,[138822.64   30999.803],[-0.6014877  -0.27785224],[-1.3122883  1.5794859],[-779.29816  285.96967],[0. 0.],[ True  True],131.914398921137
3819,2,[93201.71 33655.7 ],[0.42748478 0.31084162],[ 0.8437077 -2.7918723],[1548.6101 -268.0786],[   0.     2998.7078],[ True  True],108.81082269430881
3947,2,[51620.72 47748.16],[-1.6412073  -0.25908586],[ 0.94390386 -1.8071343 ],[-152.52429 1121.0756 ],[0. 0.],[ True  True],122.4552083138539
3950,2,[74571.85  73458.445],[-0.65670115 -0.45568615],[ 1.835593  -1.2727996],[1385.6411 1580.9304],[0. 0.],[ True  True],148.75410919231118
3979,2,[80716.67  38935.516],[2.0961614 1.1886476],[ 1.5677505 -0.7248455],[-935.6653 1054.9718],[1950.119    0.   ],[ True  True],114.93232102388951
4025,2,[130270.29  32162.5 ],[1.7126886 2.048825 ],[-1.2362509  1.3321811],[465.67145 889.44696],[   0.     2578.7983],[ True  True],126.08728890618728
4054,2,[44497.727 37817.883],[-0.13731803  1.3587563 ],[-0.17348005  2.69852   ],[-200.83716 -603.64355],[0. 0.],[ True  True],105.5144337425597
