entry,photon_n,photon_pt,photon_eta,photon_phi,photon_etcone20,photon_ptcone30,photon_isTightID,myy
2052,2,[75081.49  69254.016],[-0.15736666 -0.7860908 ],[-1.0853635  2.2129345],[ 926.0929 2308.811 ],[1663.2019 4314.823 ],[ True  True],150.9813501589702
2085,2,[45879.3   33025.207],[ 0.489059  -1.9238915],[1.6081471 2.6157248],[-361.15918 -264.76764],[0. 0.],[ True  True],124.24766034018349
2087,2,[57976.75  47533.086],[1.2779585 1.189188 ],[-1.8150208  0.8250668],[-296.16425 1334.4043 ],[    0.    10094.623],[ True  True],101.81495085043184
2127,2,[46635.945 45871.168],[-0.96319085  0.3801817 ],[-0.36660334  2.6934206 ],[2123.7302 3742.3496],[ 6086.874 20984.6  ],[ True  True],114.10522391083065
2129,2,[54417.523 48665.98 ],[1.8520652 1.2580523],[-1.5416548  1.8127471],[-357.96753  502.36768],[0. 0.],[ True  True],106.93875464776653
2199,2,[44736.945 42128.54 ],[-0.89638156  1.2956133 ],[-0.87915504  1.9046733 ],[-248.16595 -158.20447],[0. 0.],[ True  True],143.57954645631975
2232,2,[58578.246 51337.188],[1.1229725 1.9170176],[0.32619056 3.051443  ],[  -5.7314453 -514.106    ],[1453.3824    0.    ],[ True  True],116.24549532362008
2254,2,[95748.64  33412.883],[-0.96063346 -1.1949548 ],[-2.3989043   0.72415245],[ 107.16699 3780.1733 ],[    0.    43299.363],[ True  True],113.8960814360289
2288,2,[67741.055 57774.242],[-1.1488866 -2.2894228],[ 0.31243587 -3.0945792 ],[-818.97375  517.4374 ],[0. 0.],[ True  True],145.07941164810754
2404,2,[58266.76 48719.52],[0.91250926 0.68460816],[-1.6234593  1.8087057],[-815.359    221.97037],[0. 0.],[ True  True],106.13668238688687
2422,2,[77256.86 42197.61],[0.72862065 0.98900425],[ 2.0214312  -0.55274296],[-339.39255   48.61316],[0. 0.],[ True  True],110.63789089714257
2563,2,[59149.66  57264.875],[1.5342212  0.31657794],[-0.2530214  2.8312392],[1347.4636 2866.3564],[   0.    3638.797],[ True  True],138.6062616204399
2651,2,[65853.33  58712.117],[-0.62024504  0.22925119],[-0.5254715  2.519015 ],[617.6264  139.65717],[   0.     2303.7373],[ True  True],135.61400745183084
2670,2,[80134.9  48871.53],[2.3149054 1.8792897],[-2.7153375  0.9432648],[1916.7096  832.7215],[0. 0.],[ True  True],124.08277733980496
2710,2,[69423.78  66801.195],[-1.1075343   0.04100347],[-0.87209296  2.1679177 ],[-263.31543 -435.91345],[0. 0.],[ True  True],159.13188893529133
2722,2,[52475.74  51269.527],[ 1.0222178 -0.8956524],[-2.9792864   0.03002145],[-120.87866  943.2501 ],[1097.0886 2300.813 ],[ True  True],155.05218677450688
2729,2,[61873.188 44788.316],[1.0544529 1.2583306],[-1.43049   2.098122],[2240.089  2594.0942],[12980.91    2434.0337],[ True  True],103.87707010354407
2836,2,[40793.168 40656.824],[-0.45037144  1.1206803 ],[-2.5750484  1.3930436],[-663.9163 3071.9055],[    0.    10268.927],[ True  True],102.82093778259352
2849,2,[52759.58  48417.125],[-0.35688534 -0.9700674 ],[ 0.88010174 -2.2857134 ],[-509.6557  -425.18127],[2503.4705    0.    ],[ True  True],105.86455013442476
2854,2,[69159.17  55472.496],[0.4316486 1.3005013],[ 0.95175886 -1.949393  ],[-1693.4727  -380.0586],[   0.    2293.217],[ True  True],134.9369655227012
2972,2,[63238.324 49116.51 ],[-0.432649   -0.95110387],[-1.4020598  1.826203 ],[-1068.9761  2082.5298],[0. 0.],[ True  True],115.12874158907674
2981,2,[69522.97  62369.766],[-1.6461978 -2.2383478],[-1.6231055  1.3723834],[328.54108 100.49675],[0. 0.],[ True  True],137.17691784809654
